name,height,age,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,goals,minutesPlayed,rating,touches,possessionLostCtrl,expectedGoals,expectedAssists,aerialLost,aerialWon,duelLost,duelWon,onTargetScoringAttempt,totalClearance,totalTackle,wasFouled,fouls,totalCross,accurateCross,outfielderBlock,goodHighClaim,savedShotsFromInsideTheBox,saves,challengeLost,totalContest,wonContest,bigChanceMissed,shotOffTarget,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceCreated,penaltyWon,totalOffside,goalsPrevented,penaltyConceded,cbf_ranking_2024
Allan,172.0,27.0,35.4,31.32,3.75,2.789473684210526,0.0,0.0,1460.0,6.730769230769231,40.88461538461539,5.64,0.0250428571428571,0.0271026089473684,1.1666666666666667,1.4615384615384617,2.9166666666666665,3.15,1.0,1.5,2.1538461538461537,1.4444444444444444,2.333333333333333,1.2,0.0,1.3333333333333333,0.0,0.0,0.0,1.2222222222222223,1.0909090909090908,1.0,0.0,1.0,1.3846153846153846,1.181818181818182,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1
Alê,184.0,34.0,55.72413793103448,49.86206896551724,4.785714285714286,3.571428571428572,0.04,1.0,2452.0,7.179310344827586,66.37931034482759,8.75,0.0,0.0,1.5,1.2666666666666666,3.25,3.7586206896551726,1.181818181818182,1.411764705882353,1.8421052631578947,1.9583333333333333,1.6470588235294117,2.1666666666666665,1.1428571428571428,1.0,0.0,0.0,0.0,1.6,1.3571428571428572,1.6,1.0,1.0,1.3125,1.6666666666666667,1.2727272727272727,1.0,1.0,0.0,0.0,0.0,0.0,13
Anselmo Ramon,182.0,36.0,21.53125,15.96875,2.7096774193548385,2.0,0.0357142857142857,1.0,2488.0,6.978125,30.8125,9.15625,0.0,0.0,1.826086956521739,1.75,3.612903225806452,3.1379310344827585,1.2142857142857142,1.4166666666666667,1.2857142857142858,1.875,1.3157894736842106,1.7142857142857142,1.2,1.0,0.0,0.0,0.0,1.1111111111111112,1.4666666666666666,1.0,1.0,1.3157894736842106,1.0,1.619047619047619,1.5,1.0,1.0,0.0,1.1428571428571428,0.0,0.0,27
Aníbal Moreno,177.0,25.0,42.23333333333333,35.9,4.766666666666667,2.9285714285714284,0.0333333333333333,1.0,2238.0,6.943333333333333,53.16666666666666,8.8,0.0609833333333333,0.0411420861538461,1.7333333333333334,1.2857142857142858,4.103448275862069,3.5517241379310347,1.2,1.3333333333333333,1.96,1.6,1.263157894736842,1.4545454545454546,1.1666666666666667,1.0,0.0,0.0,0.0,1.8846153846153848,1.4,1.181818181818182,0.0,1.3333333333333333,2.2777777777777777,1.5833333333333333,1.7272727272727273,1.3333333333333333,1.0,0.0,1.0,0.0,0.0,3
Aylon,180.0,32.0,16.903225806451612,12.774193548387096,1.5263157894736843,1.1666666666666667,0.0769230769230769,1.125,2203.0,7.041935483870968,28.06451612903226,7.870967741935484,0.0,0.0,3.037037037037037,1.6363636363636365,5.67741935483871,3.8620689655172415,1.55,1.0,2.0,1.631578947368421,1.7727272727272727,1.6,1.0,1.0,0.0,0.0,0.0,1.3846153846153846,1.5,1.125,1.0,1.6153846153846154,1.2307692307692308,1.4,1.2777777777777777,1.181818181818182,1.0,0.0,1.0,0.0,0.0,22
Ayrton Lucas,180.0,27.0,33.63333333333333,28.466666666666665,3.32,2.4705882352941178,0.08,1.0,2182.0,6.965517241379311,53.86666666666667,11.4,0.0674666666666666,0.1128386926315789,1.6666666666666667,1.7058823529411764,4.444444444444445,4.678571428571429,1.2,1.5,1.947368421052632,1.75,1.5,2.7777777777777777,1.5,1.0,0.0,0.0,0.0,1.3846153846153846,2.333333333333333,1.7222222222222223,1.0,1.1333333333333333,1.25,1.3333333333333333,1.6666666666666667,1.2,1.0,0.0,1.0,0.0,1.0,1
Barreto,182.0,28.0,31.91304347826087,27.08695652173913,2.263157894736842,1.8125,0.0476190476190476,1.0,1827.0,6.873913043478261,43.82608695652174,7.130434782608695,0.2388199999999999,0.0518668915,1.5714285714285714,1.8125,4.391304347826087,4.681818181818182,1.1666666666666667,1.75,2.0,1.4285714285714286,2.2222222222222223,1.0,1.0,1.5,0.0,0.0,0.0,1.7142857142857142,1.6428571428571428,1.3636363636363635,1.0,1.0,1.2727272727272727,1.3,1.4615384615384617,1.25,1.0,0.0,1.0,0.0,1.0,26
Bastos,184.0,33.0,50.241379310344826,45.27586206896552,5.961538461538462,3.1666666666666665,0.0,1.0,2439.0,7.031034482758621,59.93103448275862,6.035714285714286,0.0873833333333333,0.0169473566666666,1.4375,2.3043478260869565,2.5172413793103448,3.703703703703704,1.0,4.0,1.8571428571428568,1.0,1.5238095238095235,1.0,1.0,1.4285714285714286,0.0,0.0,0.0,1.375,1.0,1.0,1.0,1.0,1.7857142857142858,1.3333333333333333,1.25,1.0,0.0,0.0,1.0,0.0,1.0,8
Bernardo Schappo,191.0,25.0,39.38461538461539,33.583333333333336,7.48,3.3043478260869565,0.0,1.0,1874.0,6.75,47.61538461538461,9.461538461538462,0.0,0.0,1.8666666666666667,2.6818181818181817,3.5,4.173913043478261,1.3333333333333333,2.9545454545454546,1.625,1.0,1.7333333333333334,1.0,0.0,1.3333333333333333,0.0,0.0,0.0,1.7777777777777777,1.0,1.0,1.5,1.5,1.0769230769230769,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,32
Breno Bidon,174.0,19.0,28.56,24.6,3.583333333333333,2.6666666666666665,0.05,1.0,1502.0,6.94,39.72,6.72,0.0863999999999999,0.0491659477777777,1.4,1.2222222222222223,3.391304347826087,3.75,1.0,1.5384615384615383,1.6875,1.55,1.7857142857142858,1.5,1.0,1.0,0.0,0.0,0.0,1.2307692307692308,1.9333333333333331,1.9090909090909087,1.0,1.2857142857142858,1.6923076923076923,1.4,1.7692307692307692,1.6,1.0,0.0,1.0,0.0,0.0,4
Bruno Fuchs,190.0,25.0,58.24,52.08,7.375,5.045454545454546,0.0416666666666666,0.0,1945.0,7.04,69.64,7.791666666666667,0.1911999999999999,0.056377871,1.5,1.8666666666666667,2.65,3.9583333333333335,1.5,3.5217391304347827,2.0,1.1666666666666667,1.5,1.2857142857142858,1.5,1.3,0.0,0.0,0.0,1.2857142857142858,1.2222222222222223,1.2857142857142858,1.0,1.0,2.066666666666667,1.125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5
Bruno Gomes,175.0,23.0,40.31818181818182,33.13636363636363,3.789473684210526,2.2,0.0476190476190476,1.0,1417.0,7.0181818181818185,57.36363636363637,11.045454545454543,0.0538666666666666,0.0547405263157894,1.4615384615384617,1.5,3.227272727272727,4.809523809523809,1.0,2.9166666666666665,2.388888888888889,1.875,1.6428571428571428,2.3846153846153846,1.0,1.0,0.0,0.0,0.0,1.3,1.4615384615384617,1.1,0.0,1.1666666666666667,1.4,1.2222222222222223,1.4285714285714286,1.0,1.0,1.0,0.0,0.0,0.0,12
Bruno Henrique,184.0,33.0,16.625,12.333333333333334,1.0,1.0,0.1052631578947368,1.2,1680.0,6.9875,30.875,9.166666666666666,0.2078315789473684,0.0731242947058823,2.4375,2.466666666666667,5.913043478260869,5.208333333333333,1.5,1.5,1.6428571428571428,2.260869565217391,1.7727272727272727,1.625,1.0,0.0,0.0,0.0,0.0,1.6,2.0,1.4545454545454546,1.0,1.3,1.4285714285714286,1.4545454545454546,1.411764705882353,1.181818181818182,1.0,1.0,1.0,0.0,0.0,1
