name,team_name,score_normalizado,valor_mercado_mais_recente(R$),goals,expectedGoals,onTargetScoringAttempt,bigChanceCreated,expectedAssists,goalAssist,keyPass,accuratePass,rating,penaltyWon,wasFouled,duelWon,aerialWon,accurateCross,accurateLongBalls,blockedScoringAttempt,height,age,possessionLostCtrl,dispossessed,bigChanceMissed,duelLost,fouls,challengeLost,totalOffside,saves,savedShotsFromInsideTheBox,goodHighClaim,goalsPrevented,penaltyConceded,campeonato,position,country,totalPass,totalLongBalls,minutesPlayed,touches,aerialLost,totalClearance,totalTackle,totalCross,outfielderBlock,totalContest,wonContest,shotOffTarget,interceptionWon,score_total
Sebastián Fernández,Danubio,20.081618261706218,"R$ 159.750,00",1.0,0.0,1.2,1.0,0.0,0.0,1.6666666666666667,13.333333333333334,7.033333333333334,0.0,1.6,4.0,1.25,0.0,1.0,1.0,167.0,39.0,9.5,2.0,1.0,4.0,0.0,1.25,0.0,,,,,,,,,,,,,,,,,,,,,,
Miguel Merentiel,Boca Juniors,19.262644119090883,"R$ 44.730.000,00",1.0,0.0,1.0,1.0,0.0,0.0,1.6666666666666667,14.6,6.659999999999999,0.0,1.0,1.6,1.0,2.0,1.0,1.3333333333333333,176.0,28.0,8.8,2.5,2.0,4.75,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Rafael Borré,Internacional,14.280878065828004,"R$ 51.120.000,00",1.0,0.0,1.75,0.0,0.0,0.0,1.6666666666666667,15.6,6.88,0.0,1.5,3.6,2.75,2.0,1.5,1.0,174.0,29.0,12.2,4.0,1.5,8.6,2.8,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Jonathan Benítez,Palestino,12.120160731314177,"R$ 2.875.500,00",0.0,0.049060000000000006,1.0,0.0,0.16489632,0.0,1.4,13.25,6.9,0.0,1.4,4.857142857142857,1.0,1.0,2.0,1.0,182.0,33.0,10.875,1.4,0.0,4.625,1.7142857142857142,2.1666666666666665,1.0,,,,,,,,,,,,,,,,,,,,,,
Franco Soldano,Unión La Calera,8.63470384921939,"R$ 2.076.750,00",0.0,0.0,1.0,0.0,0.0,0.0,2.0,17.8,6.9,0.0,1.5,7.2,4.2,1.0,1.5,1.3333333333333333,180.0,30.0,15.8,2.0,0.0,8.2,1.6666666666666667,1.3333333333333333,0.0,,,,,,,,,,,,,,,,,,,,,,
Andrés Chávez,Coquimbo Unido,5.421470865761253,"R$ 1.757.250,00",1.0,0.0,2.3333333333333335,0.0,0.0,0.0,1.0,6.166666666666667,6.7,0.0,1.6666666666666667,4.833333333333333,3.5,0.0,1.0,1.5,184.0,33.0,13.833333333333334,2.5,2.0,8.0,2.5,1.5,2.0,,,,,,,,,,,,,,,,,,,,,,
Yorleys Mena,Universidad César Vallejo,4.2066717553956545,"R$ 4.153.500,00",1.0,0.0,1.0,0.0,0.0,0.0,1.0,9.333333333333334,6.783333333333334,0.0,1.0,3.2,1.6666666666666667,1.0,1.3333333333333333,1.6666666666666667,182.0,33.0,8.333333333333334,3.5,1.0,4.333333333333333,1.5,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,
Marcos Bolados,Colo Colo,0.0,"R$ 4.792.500,00",0.0,0.10369999999999999,1.0,0.0,0.034976598750000004,0.0,1.3333333333333333,10.7,6.640000000000001,0.0,1.2,3.3333333333333335,1.0,1.5,1.0,1.0,171.0,28.0,9.6,2.8333333333333335,0.0,5.6,2.2857142857142856,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,
Paulinho,Atlético Mineiro,100.0,"R$ 108.630.000,00",1.2,0.6054444444444445,2.2857142857142856,1.0,0.12043885555555556,0.16666666666666666,1.5,30.333333333333332,7.455555555555555,0.0,1.0,4.444444444444445,1.5,1.0,1.6666666666666667,1.3333333333333333,175.0,24.0,8.88888888888889,1.6,1.6,4.0,1.5,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Pedro,Flamengo,98.1983458517854,"R$ 146.970.000,00",1.25,0.8926000000000001,2.25,1.0,0.10897404000000002,0.6666666666666666,1.75,10.666666666666666,7.566666666666666,0.0,1.25,3.3333333333333335,1.3333333333333333,0.0,1.6666666666666667,1.0,186.0,27.0,10.666666666666666,3.25,1.0,4.5,1.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Carlos Palacios,Colo Colo,80.55072776091784,"R$ 15.975.000,00",1.0,0.41905,1.8,1.0,0.158154711,0.16666666666666666,1.625,32.6,7.08,0.0,1.7142857142857142,4.0,1.3333333333333333,1.5,1.5714285714285714,2.6666666666666665,180.0,24.0,15.7,1.3,1.0,4.8,1.6,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Júnior Santos,Botafogo,76.16714475747281,"R$ 25.560.000,00",1.0,0.32609999999999995,3.0,1.0,0.21439372166666668,0.5,1.4,15.833333333333334,6.95,0.0,2.4,6.833333333333333,2.3333333333333335,1.0,1.3333333333333333,1.0,188.0,30.0,14.0,1.6,1.0,7.833333333333333,1.8,1.0,1.75,,,,,,,,,,,,,,,,,,,,,,
Miguel Borja,River Plate,75.41192610946098,"R$ 28.755.000,00",1.5,0.5639444444444445,1.8888888888888888,1.0,0.03183235555555555,0.3333333333333333,1.4285714285714286,11.444444444444445,7.422222222222222,0.0,1.5,4.555555555555555,2.25,0.0,1.3333333333333333,1.0,183.0,31.0,10.88888888888889,1.5714285714285714,1.3333333333333333,5.777777777777778,1.5714285714285714,1.0,2.2,,,,,,,,,,,,,,,,,,,,,,
Matheus Pereira,Cruzeiro,73.35475273873747,"R$ 54.315.000,00",1.0,0.0,1.25,1.0,0.0,0.3333333333333333,2.5,35.125,7.5625,0.0,1.875,4.625,1.6666666666666667,1.8333333333333333,2.3333333333333335,1.5,175.0,28.0,14.625,1.0,1.0,3.0,1.6666666666666667,1.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,
Facundo Colidio,River Plate,73.32875873047715,"R$ 31.950.000,00",1.0,0.34382857142857143,1.2,1.0,0.12851712857142858,0.2,3.0,11.444444444444445,7.111111111111111,0.0,3.0,5.428571428571429,2.6,0.0,1.0,1.0,179.0,24.0,9.555555555555555,3.3333333333333335,0.0,6.111111111111111,1.8571428571428572,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,
Maximiliano Salas,Racing Club,70.67665109075209,"R$ 15.975.000,00",1.0,0.0,2.0,2.0,0.0,0.16666666666666666,1.75,10.625,7.25,1.0,2.375,5.5,2.25,1.0,1.0,1.4,173.0,26.0,9.75,2.0,1.5,5.75,1.6666666666666667,1.1666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,
Adrián Martínez,Racing Club,70.36724009989413,"R$ 22.365.000,00",1.125,0.0,1.8,1.0,0.0,0.375,2.0,12.0,7.76,1.0,1.375,3.1,1.3333333333333333,0.0,1.25,1.6666666666666667,181.0,32.0,9.2,1.6,1.0,6.3,2.25,1.6666666666666667,1.1666666666666667,,,,,,,,,,,,,,,,,,,,,,
Bruno Sávio,Bolívar,69.7947078712256,"R$ 4.153.500,00",1.0,0.42118,1.6,1.0,0.1489160214285714,0.4,2.25,22.0,7.471428571428571,0.0,2.0,5.714285714285714,1.0,1.3333333333333333,2.2,1.0,184.0,30.0,17.142857142857142,1.8333333333333333,1.5,7.857142857142857,2.2,1.6666666666666667,1.0,,,,,,,,,,,,,,,,,,,,,,
Jonathan Calleri,São Paulo,69.78516398390667,"R$ 22.365.000,00",1.0,0.7149333333333333,1.8,1.0,0.0822951625,0.2,1.75,11.875,7.2375,0.0,2.6666666666666665,6.125,3.6666666666666665,0.0,1.0,1.0,181.0,31.0,13.0,1.5,1.0,5.0,1.75,2.0,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,
Maximiliano Silvera,Peñarol,68.85341422718034,"R$ 11.502.000,00",1.5,0.2921222222222222,1.8,1.0,0.0823469,0.2,2.0,14.11111111111111,7.2555555555555555,0.0,2.0,4.125,1.6666666666666667,0.0,1.8,1.0,176.0,27.0,9.333333333333334,2.8333333333333335,2.0,4.625,2.0,1.0,1.5,,,,,,,,,,,,,,,,,,,,,,
Francisco Da Costa,Bolívar,68.31744362360307,"R$ 5.431.500,00",1.25,0.3990833333333333,2.2,0.0,0.07702484666666666,0.0,1.0,12.833333333333334,7.599999999999999,0.0,1.5,4.5,2.6,0.0,0.0,1.3333333333333333,184.0,29.0,10.5,1.2,1.0,4.833333333333333,1.6,1.5,1.6666666666666667,,,,,,,,,,,,,,,,,,,,,,
Yuri Alberto,Corinthians,65.50779168661315,"R$ 70.290.000,00",1.2,0.0,1.8333333333333333,1.0,0.0,0.4,1.6666666666666667,9.75,7.237500000000001,0.0,1.1666666666666667,3.625,2.6666666666666665,0.0,1.0,1.5,183.0,23.0,8.25,2.0,1.5,4.625,1.25,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Carlos Bacca,Junior Barranquilla,64.8422765174502,"R$ 1.917.000,00",1.3333333333333333,0.6003,1.25,1.0,0.11096105714285713,0.25,1.3333333333333333,9.125,7.1375,0.0,1.3333333333333333,2.8,1.6666666666666667,0.0,1.0,1.5,181.0,38.0,4.25,1.0,1.0,2.625,1.25,0.0,1.3333333333333333,,,,,,,,,,,,,,,,,,,,,,
Ángel Romero,Corinthians,64.82011684704409,"R$ 9.585.000,00",1.5,0.0,2.0,1.3333333333333333,0.0,0.5,2.0,10.875,7.075,0.0,1.6,2.2857142857142856,1.5,1.0,2.0,1.3333333333333333,177.0,32.0,6.0,1.6,1.6666666666666667,3.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Hulk,Atlético Mineiro,62.75212929377842,"R$ 11.502.000,00",1.0,0.38273749999999995,1.6666666666666667,1.2,0.40564415,0.5,2.2857142857142856,25.0,7.2,0.0,2.8,4.375,1.25,1.25,1.0,1.25,180.0,38.0,16.0,2.4285714285714284,1.6666666666666667,6.875,2.25,1.2,2.6666666666666665,,,,,,,,,,,,,,,,,,,,,,
Adam Bareiro,San Lorenzo,62.700269956487396,"R$ 38.340.000,00",1.0,0.4538666666666667,3.0,1.0,0.02652491,0.0,1.3333333333333333,14.2,6.779999999999999,0.0,3.3333333333333335,8.0,4.6,0.0,1.5,1.0,184.0,28.0,11.4,1.25,1.5,10.8,3.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Thiago Borbas,Red Bull Bragantino,62.45608171577202,"R$ 44.730.000,00",1.5,0.0,1.5,1.0,0.0,0.0,1.0,6.111111111111111,7.033333333333334,0.0,1.5,3.7777777777777777,2.4444444444444446,0.0,1.0,1.0,181.0,22.0,7.444444444444445,1.3333333333333333,0.0,5.333333333333333,1.75,1.5,0.0,,,,,,,,,,,,,,,,,,,,,,
Guillermo Paiva,Colo Colo,62.443146251328834,"R$ 6.390.000,00",1.0,0.17815,1.3333333333333333,1.0,0.07494911666666666,0.0,2.0,8.666666666666666,6.890000000000001,1.0,1.0,3.7,3.0,0.0,2.0,1.6666666666666667,182.0,27.0,8.1,1.8333333333333333,0.0,4.777777777777778,1.8333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Javier Correa,Estudiantes de La Plata,60.41657451264709,"R$ 9.585.000,00",1.5,0.45403333333333334,1.25,0.0,0.09464716666666667,0.0,1.3333333333333333,12.5,7.283333333333334,0.0,1.25,4.833333333333333,1.3333333333333333,0.0,1.0,1.1666666666666667,184.0,31.0,11.833333333333334,1.25,0.0,6.333333333333333,1.8,1.25,0.0,,,,,,,,,,,,,,,,,,,,,,
